Stock Item Record ID,Description,Discountable,UPC Code,Price,Cost,Taxable,Price Type,Register Data Status,Quantity on Hand,Inventory Method,Assigned Cost,Order Trigger,Recommended Order,Department,Category,Supplier,Supplier Code,Unit,Tax Group
23623213,Under Armour Mens Head Player Unstrung  Lt Blue,TRUE,400000004068,35,14.15,TRUE,system,active,2,tracked,,0,0,general,general,UA,,,
23623214,Under Armour Mens Head Player Unstrung  Blue,TRUE,400000004075,35,14.15,TRUE,system,active,3,tracked,,0,0,general,general,UA,,,
23623215,Under Armour Mens Head Player Unstrung  Navy ,TRUE,400000004082,35,14.15,TRUE,system,active,4,tracked,,0,0,general,general,UA,,,
23623216,Under Armour Mens Head Player Unstrung  Red,TRUE,400000004099,35,14.15,TRUE,system,active,3,tracked,,0,0,general,general,UA,,,
23623217,Easton Mens Head Launch Unstrung  White,TRUE,400000004105,50,14.15,TRUE,system,active,5,tracked,,0,0,general,general,Easton,,,
23623218,Easton Mens Head Launch Unstrung  Black,TRUE,400000004112,50,14.15,TRUE,system,active,3,tracked,,0,0,general,general,Easton,,,
23623219,Easton Mens Head Stealth Unstrung  White,TRUE,400000004129,40,14.15,TRUE,system,active,2,tracked,,0,0,general,general,Easton,,,
23623220,Easton Mens Head Stealth Unstrung  Black,TRUE,400000004136,40,14.15,TRUE,system,active,1,tracked,,0,0,general,general,Easton,,,
23623221,Gait Mens Head Silencer Unstrung  Green ,TRUE,400000004143,40,14.15,TRUE,system,active,3,tracked,,0,0,general,general,Gait,,,
23623222,Gait Mens Head Silencer Unstrung  White,TRUE,400000004150,40,14.15,TRUE,system,active,1,tracked,,0,0,general,general,Gait,,,
23623223,Gait Mens Head Recon T1 Unstrung  White,TRUE,400000004167,50,14.15,TRUE,system,active,4,tracked,,0,0,general,general,Gait,,,
23623224,Gait Mens Head Flow Unstrung   White,TRUE,400000004174,25,14.15,TRUE,system,active,2,tracked,,0,0,general,general,Gait,,,
