Stock Item Record ID,Description,Discountable,UPC Code,Price,Cost,Taxable,Price Type,Register Data Status,Quantity on Hand,Inventory Method,Assigned Cost,Order Trigger,Recommended Order,Department,Category,Supplier,Supplier Code,Unit,Tax Group
,WHT TEE NF BOX BLU XL,TRUE,699170202033,3.00,1.89,TRUE,system,active,2,tracked,,0,0,general,general,APPLE IMPRINTS APPAREL INC.,,,
,APIMA TEE NTV CNTR WHT MD     ,TRUE,699170287962,2.99,1.69,TRUE,system,active,12,tracked,,0,0,general,general,APPLE IMPRINTS APPAREL INC.,,,
,APIMA TEE NTV CNTR WHT SM     ,TRUE,699170287955,2.99,1.69,TRUE,system,active,11,tracked,,0,0,general,general,APPLE IMPRINTS APPAREL INC.,,,
,APIMA TEE NTV CNTR WHT LG     ,TRUE,699170287979,2.99,1.69,TRUE,system,active,12,tracked,,0,0,general,general,APPLE IMPRINTS APPAREL INC.,,,
,APIMA TEE NTV CNTR WHT 2X     ,TRUE,699170292256,4.99,3.29,TRUE,system,active,13,tracked,,0,0,general,general,APPLE IMPRINTS APPAREL INC.,,,
,TDEL SHFT LACROSSE AST OFFNS  ,TRUE,699170301255,75.00,0.00,TRUE,system,active,1,tracked,,0,0,general,general,THOMAS DELORIMIERE            ,,,
,TDEL MESH TRACKS AST          ,TRUE,699170301439,22.99,0.00,TRUE,system,active,3,tracked,,0,0,general,general,THOMAS DELORIMIERE            ,,,
,SJGE TEE CAITLIN BLK SM       ,TRUE,699170336479,19.99,3.90,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE TEE CAITLIN BLK MD       ,TRUE,699170336486,19.99,3.90,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE TEE CAITLIN BLK LG       ,TRUE,699170336493,19.99,3.90,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE TEE CAITLIN BLK XL       ,TRUE,699170336509,19.99,3.90,TRUE,system,active,1,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE TEE CAITLIN BLK 2X       ,TRUE,699170336516,19.99,5.16,TRUE,system,active,1,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE TEE DTG CTLN CRM SM      ,TRUE,699170340292,19.99,3.90,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE TEE DTG CTLN CRM MD      ,TRUE,699170340308,19.99,3.90,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE TEE DTG CTLN CRM LG      ,TRUE,699170340315,19.99,3.90,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE TEE DTG CTLN CRM XL      ,TRUE,699170340322,19.99,3.90,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE TEE DTG CTLN CRM 2X      ,TRUE,699170340339,19.99,5.16,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE SKIR NF ARROW WHT SM     ,TRUE,699170340742,9.99,3.90,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE SKIR NF ARROW WHT MD     ,TRUE,699170340759,9.99,3.90,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE SKIR NF ARROW WHT LG     ,TRUE,699170340766,9.99,3.90,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE SKIR NF ARROW WHT XL     ,TRUE,699170340773,9.99,3.90,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE SKIR NF ARROW WHT 2X     ,TRUE,699170340780,11.99,5.16,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE SKIR NF ARROW WHT 3X     ,TRUE,699170340797,11.99,5.16,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE SHIR MELISSA BLK SM      ,TRUE,699170344306,19.99,3.90,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE SHIR MELISSA BLK MD      ,TRUE,699170344313,19.99,3.90,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE SHIR MELISSA BLK LG      ,TRUE,699170344320,19.99,3.90,TRUE,system,active,1,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE SHIR MELISSA BLK XL      ,TRUE,699170344337,19.99,3.90,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE SHIR MELISSA BLK 2X      ,TRUE,699170344344,19.99,5.16,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE TEE ARROWS GRY SM        ,TRUE,699170346393,19.99,3.90,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE TEE ARROWS GRY MD        ,TRUE,699170346409,19.99,3.90,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE TEE ARROWS GRY LG        ,TRUE,699170346416,19.99,3.90,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE TEE ARROWS GRY XL        ,TRUE,699170346423,19.99,3.90,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE TEE ARROWS GRY 2X        ,TRUE,699170346430,19.99,5.16,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE TEE GERONIMO BLK SM      ,TRUE,699170348458,19.99,3.90,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE TEE GERONIMO BLK MD      ,TRUE,699170348465,19.99,3.90,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE TEE GERONIMO BLK LG      ,TRUE,699170348472,19.99,3.90,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE TEE GERONIMO BLK XL      ,TRUE,699170348489,19.99,3.90,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE TEE GERONIMO BLK 2X      ,TRUE,699170348496,19.99,5.16,TRUE,system,active,1,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE TEE HALL FAME WHT SM     ,TRUE,699170353278,9.99,3.90,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE TEE HALL FAME WHT MD     ,TRUE,699170353285,9.99,3.90,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE TEE HALL FAME WHT LG     ,TRUE,699170353292,9.99,3.90,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
